SampleID,Tissue,Timepoint,Genotype,Condition,Replicate,Peaks,bamReads
HHLE10R1,HL,E10,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HHLE10_peak/R1/HHLE10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HHLE10R1_out/HHLE10R1_callpeak.bam
HHLE10R2,HL,E10,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HHLE10_peak/R2/HHLE10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HHLE10R2_out/HHLE10R2_callpeak.bam
CHLE10R1,HL,E10,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CHLE10_peak/R1/CHLE10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CHLE10R1_out/CHLE10R1_callpeak.bam
CHLE10R2,HL,E10,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CHLE10_peak/R2/CHLE10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CHLE10R2_out/CHLE10R2_callpeak.bam
HP1E11R1,PA1,E11,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HP1E11_peak/R1/HP1E11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HP1E11R1_out/HP1E11R1_callpeak.bam
HP1E11R2,PA1,E11,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HP1E11_peak/R2/HP1E11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HP1E11R2_out/HP1E11R2_callpeak.bam
CP1E11R1,PA1,E11,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CP1E11_peak/R1/CP1E11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CP1E11R1_out/CP1E11R1_callpeak.bam
CP1E11R2,PA1,E11,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CP1E11_peak/R2/CP1E11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CP1E11R2_out/CP1E11R2_callpeak.bam
HP2E11R1,PA2,E11,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HP2E11_peak/R1/HP2E11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HP2E11R1_out/HP2E11R1_callpeak.bam
HP2E11R2,PA2,E11,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HP2E11_peak/R2/HP2E11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HP2E11R2_out/HP2E11R2_callpeak.bam
CP2E11R1,PA2,E11,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CP2E11_peak/R1/CP2E11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CP2E11R1_out/CP2E11R1_callpeak.bam
CP2E11R2,PA2,E11,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CP2E11_peak/R2/CP2E11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CP2E11R2_out/CP2E11R2_callpeak.bam
HFLE11R1,FL,E11,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HFLE11_peak/R1/HFLE11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HFLE11R1_out/HFLE11R1_callpeak.bam
HFLE11R2,FL,E11,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HFLE11_peak/R2/HFLE11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HFLE11R2_out/HFLE11R2_callpeak.bam
CFLE11R1,FL,E11,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CFLE11_peak/R1/CFLE11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CFLE11R1_out/CFLE11R1_callpeak.bam
CFLE11R2,FL,E11,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CFLE11_peak/R2/CFLE11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CFLE11R2_out/CFLE11R2_callpeak.bam
HHLE11R1,HL,E11,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HHLE11_peak/R1/HHLE11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HHLE11R1_out/HHLE11R1_callpeak.bam
HHLE11R2,HL,E11,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/HHLE11_peak/R2/HHLE11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/HHLE11R2_out/HHLE11R2_callpeak.bam
CHLE11R1,HL,E11,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CHLE11_peak/R1/CHLE11R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CHLE11R1_out/CHLE11R1_callpeak.bam
CHLE11R2,HL,E11,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E11/Peaks/CHLE11_peak/R2/CHLE11R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E11/Cleaned/CHLE11R2_out/CHLE11R2_callpeak.bam
HPE12R1,PA,E12,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HPE12_peak/R1/HPE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HPE12R1_out/HPE12R1_callpeak.bam
HPE12R2,PA,E12,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HPE12_peak/R2/HPE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HPE12R2_out/HPE12R2_callpeak.bam
CPE12R1,PA,E12,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CPE12_peak/R1/CPE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CPE12R1_out/CPE12R1_callpeak.bam
CPE12R2,PA,E12,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CPE12_peak/R2/CPE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CPE12R2_out/CPE12R2_callpeak.bam
HFLE12R1,FL,E12,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HFLE12_peak/R1/HFLE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HFLE12R1_out/HFLE12R1_callpeak.bam
HFLE12R2,FL,E12,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HFLE12_peak/R2/HFLE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HFLE12R2_out/HFLE12R2_callpeak.bam
CFLE12R1,FL,E12,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CFLE12_peak/R1/CFLE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CFLE12R1_out/CFLE12R1_callpeak.bam
CFLE12R2,FL,E12,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CFLE12_peak/R2/CFLE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CFLE12R2_out/CFLE12R2_callpeak.bam
HHLE12R1,HL,E12,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HHLE12_peak/R1/HHLE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HHLE12R1_out/HHLE12R1_callpeak.bam
HHLE12R2,HL,E12,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/HHLE12_peak/R2/HHLE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/HHLE12R2_out/HHLE12R2_callpeak.bam
CHLE12R1,HL,E12,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CHLE12_peak/R1/CHLE12R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CHLE12R1_out/CHLE12R1_callpeak.bam
CHLE12R2,HL,E12,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E12/Peaks/CHLE12_peak/R2/CHLE12R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E12/Cleaned/CHLE12R2_out/CHLE12R2_callpeak.bam
